Query,Recall,Precision
926.jpg,0.8,1
927.jpg,0.8,1
928.jpg,1,0.9
929.jpg,0.8,0.8
93.jpg,1,0.6
930.jpg,0.2,1
931.jpg,1,1
932.jpg,1,0.7
933.jpg,1,0.6
934.jpg,1,1
935.jpg,0.6,1
936.jpg,1,0.6
937.jpg,1,1
938.jpg,0.8,0.8
939.jpg,1,1
94.jpg,1,1
940.jpg,1,1
941.jpg,1,0.6
942.jpg,1,0.8
943.jpg,0.8,0.6
944.jpg,1,0.6
945.jpg,0.8,0.6
946.jpg,1,1
947.jpg,1,0.9
948.jpg,0.8,1
949.jpg,0.4,0.2
95.jpg,0.8,1
950.jpg,0.6,0.6
951.jpg,0.6,0.3
952.jpg,1,0.8
953.jpg,0.8,0.9
954.jpg,1,0.5
955.jpg,1,0.7
956.jpg,0.8,1
957.jpg,0.8,0.8
958.jpg,0.8,0.5
959.jpg,1,1
96.jpg,1,1
960.jpg,1,0.8
961.jpg,0.6,1
962.jpg,1,0.6
963.jpg,1,0.8
964.jpg,0.6,0.4
965.jpg,0.8,0.4
966.jpg,0.8,1
967.jpg,1,0.7
968.jpg,0.2,0.5
969.jpg,0.6,0.4
97.jpg,0.8,1
970.jpg,1,0.8
971.jpg,0.4,1
972.jpg,0.6,1
973.jpg,1,1
974.jpg,1,0.6
975.jpg,0.8,1
976.jpg,1,0.9
977.jpg,1,0.5
978.jpg,0.4,1
979.jpg,0.6,0.6
98.jpg,0.4,1
980.jpg,1,0.8
981.jpg,0.8,0.8
982.jpg,0.8,0.5
983.jpg,1,1
984.jpg,1,0.5
985.jpg,1,0.7
986.jpg,0.8,1
987.jpg,0.2,1
988.jpg,1,1
989.jpg,1,0.5
99.jpg,1,1
990.jpg,1,1
991.jpg,0.8,1
992.jpg,1,0.8
993.jpg,0.6,0.7
994.jpg,0.8,0.9
995.jpg,0.2,0.9
996.jpg,1,0.6
997.jpg,0.6,1
998.jpg,0.4,0.6
999.jpg,0.4,0.8
Average Accuracy=,0.7406,0.8569
